molecule_id,smiles,target_id,predicted_pIC50,ai_status,docking_score,binding_affinity,docking_status,consensus_score,molecular_weight,logp,hbd,hba,psa,rotatable_bonds,lipinski_violations,drug_likeness_score,drug_likeness_status
"3beta-acetyl-16alpha-hydroxy-13beta,28-epoxyoleanane",CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@@]23[C@@]1(C)C[C@H]([C@@]1([C@H]2CC(C)(C)CC1)CO3)O)C)C,default,5.202,success,-6.97,,success,0.3325,500.76,6.92,1,4,55.76,1,2,-7.89,success
"3beta-acetyl-16alpha-hydroxyoleanane-13beta,28-olide",CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@@]23[C@@]1(C)C[C@H]([C@@]1([C@H]2CC(C)(C)CC1)C(=O)O3)O)C)C,default,5.4001,success,-6.3,,success,0.326675,514.75,6.45,1,5,72.83,1,2,-7.79,success
3beta-acetyl-28-hydroxy-16-oxo-12-oleanene,OC[C@]12CCC(C[C@H]1[C@@]1([C@](CC2=O)(C)[C@]2(C)CC[C@@H]3[C@]([C@H]2CC1)(C)CC[C@@H](C3(C)C)OC(=O)C)C)(C)C,default,4.9388,success,-5.85,,success,0.2732333333333333,514.79,7.36,1,4,63.6,2,2,-7.49,success
"3beta,28-di-O-acetyl-16alpha-hydroxy-12-oleanene",CC(=O)OC[C@]12CCC(C[C@H]1[C@@]1([C@](C[C@H]2O)(C)[C@]2(C)CC[C@@H]3[C@]([C@H]2CC1)(C)CC[C@@H](C3(C)C)OC(=O)C)C)(C)C,default,5.0341,success,-3.73,,success,0.2105083333333333,558.84,7.72,1,5,72.83,3,2,-7.14,success
"3beta-acetyl-11alpha,28-dihydroxy-16-oxo-12-oleanene",OC[C@]12CCC(C[C@H]1[C@@]1([C@](CC2=O)(C)[C@]2(C)CC[C@@H]3[C@](C2[C@@H](C1)O)(C)CC[C@@H](C3(C)C)OC(=O)C)C)(C)C,default,5.4396,success,-6.5,,success,0.3366333333333334,530.79,6.33,2,5,83.83,2,2,-7.55,success
"3beta,11alpha,16alpha,28-tetrahydroxy-12-oleanene",OC[C@]12CCC(C[C@H]1[C@@]1([C@](C[C@H]2O)(C)[C@]2(C)CC[C@@H]3[C@](C2[C@@H](C1)O)(C)CC[C@@H](C3(C)C)O)C)(C)C,default,5.4619,success,-4.54,,success,0.27315833333333334,490.77,5.55,4,4,80.92,1,1,-8.23,success
"3beta-acetyl-16alpha,28alpha-dihydroxy-13beta,28-oxydooleanane",CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@@]23[C@@]1(C)C[C@H]([C@@]1([C@H]2CC(C)(C)CC1)[C@@H](O3)O)O)C)C,default,5.336,success,-5.99,,success,0.31100000000000005,516.76,6.24,2,5,75.99,1,2,-7.75,success
"3beta,28alpha-dihydroxy-16-oxo-13beta,28-oxydooleanane",O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@@]23[C@@]1(C)CC(=O)[C@@]1([C@H]2CC(C)(C)CC1)[C@@H](O3)O)C)C,default,5.5599,success,-6.01,,success,0.330325,472.71,5.88,2,4,66.76,0,1,-8.49,success
"3beta,28-dihydroxy-16-oxo-12-oleanene",OC[C@]12CCC(C[C@H]1[C@@]1([C@](CC2=O)(C)[C@]2(C)CC[C@@H]3[C@]([C@H]2CC1)(C)CC[C@@H](C3(C)C)O)C)(C)C,default,5.1117,success,-5.53,,success,0.276975,472.75,6.79,2,3,57.53,1,1,-8.24,success
taraxerone,O=C1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@@]2(C1=CC[C@@]1([C@H]2CC(C)(C)CC1)C)C)C)C,default,5.6101,success,-3.77,,success,0.2598416666666667,424.71,8.38,0,1,17.07,0,1,-8.6,success
taraxerol,O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@@]2(C1=CC[C@@]1([C@H]2CC(C)(C)CC1)C)C)C)C,default,5.2434,success,-5.96,,success,0.30228333333333335,426.73,8.17,1,1,20.23,0,1,-8.64,success
methylanhydrovilangin,CCCCCCCCCCCC1=C(O)C(=O)C2=C(C1=O)OC1=C(C2C)C(=O)C(=C(C1=O)CCCCCCCCCCC)O,default,5.4242,success,-3.31,,success,0.22901666666666665,596.81,8.93,2,7,117.97,20,2,-5.53,success
"2,5-dihydroxy-3-(nonadec-14-enyl)-1,4-benzoquinone",CCCC/C=C/CCCCCCCCCCCCCC1=C(O)C(=O)C=C(C1=O)O,default,5.0481,success,-5.57,,success,0.2730083333333333,404.59,7.21,2,4,74.6,17,1,-7.08,success
lanciaquinone,O=C1C(=CC(=O)C(=C1CCCCCCCCCCCCCCC1=C(O)C(=CC(=O)C1=O)C)O)O,default,5.2483,success,-5.81,,success,0.2976916666666667,472.58,5.76,3,7,128.97,15,1,-6.5,success
maesaquinone,CCCC/C=C/CCCCCCCCCCCCCC1=C(O)C(=O)C(=C(C1=O)O)C,default,5.2012,success,-6.14,,success,0.3047666666666667,418.62,7.6,2,4,74.6,17,1,-6.91,success
"5,7,4'-trihydroxy-8-(3""'-methylbut-2""'-enyl)-6-(2""-hydroxy-3""-methylbut-3""enyl) isoflavone",CC(=CCc1c(O)c(CC(C(=C)C)O)c(c2c1occ(c2=O)c1ccc(cc1)O)O)C,default,6.4711,success,-6.64,,success,0.4272583333333333,422.48,4.57,4,6,111.13,6,0,-8.53,success
"5,7,2'-trihydroxy-4'-methoxy-5'-(3""-methylbut-2""-enyl)isoflavanone",COc1cc(O)c(cc1CC=C(C)C)C1COc2c(C1=O)c(O)cc(c2)O,default,5.9171,success,-10.06,,success,0.4950916666666667,370.4,3.68,3,6,96.22,4,0,-9.66,success
"5,4'-dihydroxy-6-(3""'-methylbut-2""'-enyl)-2""-hydroxyisopropyl dihydrofurano [4"",5"":8,7] isoflavone",CCC(C(O)(C)C)Oc1c2OCC(C(=O)c2c(c(c1OC(C(O)(C)C)CC)CC=C(C)C)O)c1ccc(c(c1)CC=C(C)C)O,default,6.4941,success,-1.59,,success,0.2608416666666667,624.82,7.33,4,8,125.68,13,2,-5.77,success
