molecule_id,smiles,target_id,predicted_pIC50,ai_status,docking_score,binding_affinity,docking_status,consensus_score,molecular_weight,logp,hbd,hba,psa,rotatable_bonds,lipinski_violations,drug_likeness_score,drug_likeness_status
mol_262,O[C@@H](C[C@@H](COCc1ccccc1)OCc1ccccc1)[C@@H](COCc1ccccc1)OCc1ccccc1,default,5.780685390483344,success,-6.09,,success,0.35139044920694534,526.67,6.34,1,5,57.15,17,2,-6.56,success
mol_263,CC(C)(C)NC(=O)[C@@H]1CN(CCCc2ccccc2)CCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1,default,6.7856570649635435,success,-7.51,,success,0.4824714220802953,580.77,3.01,3,7,103.37,12,1,-7.6,success
mol_264,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,default,8.738856237232957,success,-2.04,,success,0.46290468643607974,672.87,4.48,5,6,159.85,17,1,-6.15,success
mol_265,Cc1nc(C)c(C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)c2sc(C)nc2C)C(C)C)C(C)C)s1,default,8.136980899368675,success,-0.36,,success,0.3567484082807229,777.03,4.22,6,10,182.64,17,2,-5.6,success
mol_266,CCNC(=O)[C@@H](NC(=O)c1ccccc1Oc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)c3ccccc3Oc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,default,7.400681901043526,success,0.13,,success,0.2833901584202938,939.17,4.29,8,12,217.12,19,3,-5.33,success
mol_267,NC(=O)c1[nH]c2ccc(Cl)cc2c1[S+]([O-])c1ccccc1,default,6.514507705890758,success,-10.62,,success,0.5635423088242298,318.78,3.09,2,2,81.94,3,0,-9.98,success
mol_268,CC(C)[C@H](NC(=O)CCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)CCc1cccnc1)C(C)C,default,8.121561121049341,success,-3.13,,success,0.44779676008744507,764.97,3.5,6,8,182.64,21,2,-5.69,success
mol_269,CC1=C(CCC(=O)O)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5C(COC(=O)C1=CC1)OC(=O)C1=CC1)c(C)c4C(COC(=O)C1=CC1)OC(=O)C1=CC1)c(C)c3CCC(=O)O,default,5.239629222120826,success,0.43,,success,0.10330243517673547,894.93,7.58,4,12,237.16,18,3,-4.86,success
mol_270,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccc1,default,8.441794296759495,success,-1.56,,success,0.4221495247299579,601.79,5.19,4,5,116.76,14,2,-6.45,success
mol_271,CC(C)(C)OC(=O)[C@@H]1CCCN1C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,default,6.845458023802706,success,-5.48,,success,0.4197881686502255,582.7,2.05,4,8,160.29,13,1,-7.03,success
mol_272,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(O)CN(Cc1ccc(OC)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C,default,7.139970968884832,success,-3.46,,success,0.3769975807404027,629.76,2.38,5,9,167.56,16,1,-6.78,success
mol_273,COc1ccc2c(CC(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc(N)cc3)cc(=O)oc2c1,default,7.5649179722765085,success,-4.83,,success,0.45807649768970904,607.73,3.36,3,8,152.17,13,1,-6.37,success
mol_274,O=C(N[C@@H](Cc1ccccc1)[C@H](O)CN(C1CC1)S(=O)(=O)c1ccc(C(F)(F)F)cc1)N1CCOCC1,default,6.512198949019137,success,-10.94,,success,0.5740165790849281,541.59,2.87,2,5,99.18,9,1,-8.24,success
mol_275,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1CC(O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,default,6.166968274009548,success,-8.77,,success,0.472914022834129,501.71,4.28,3,5,90.9,7,1,-8.42,success
mol_276,C=CCN(CC(=O)N[C@H](C(=O)N[C@H](C(=O)OC)C(C)C)[C@@H](C)CC)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)N,default,6.809284565202795,success,-3.18,,success,0.3401070471002329,559.71,0.92,4,7,159.93,16,1,-6.69,success
